Especie;Categoria_Ameaca;Legislacao
Lepidaploa persicifolia;VU;Portaria MMA N. 148/2022
Lepidaploa pseudaurea;EN;Portaria MMA N. 148/2022
Lepidaploa spixiana;EN;Portaria MMA N. 148/2022
Leptostelma catharinense;EN;Portaria MMA N. 148/2022
Lessingianthus adenophyllus;EN;Portaria MMA N. 148/2022
Lessingianthus asteriflorus;EN;Portaria MMA N. 148/2022
Lessingianthus constrictus;CR;Portaria MMA N. 148/2022
Lessingianthus eitenii;EN;Portaria MMA N. 148/2022
Lessingianthus exiguus;VU;Portaria MMA N. 148/2022
Lessingianthus glaziovianus;EN;Portaria MMA N. 148/2022
Lessingianthus irwinii;VU;Portaria MMA N. 148/2022
Lessingianthus pumillus;VU;Portaria MMA N. 148/2022
Lessingianthus reitzianus;VU;Portaria MMA N. 148/2022
Lessingianthus rosmarinifolius;EN;Portaria MMA N. 148/2022
Lessingianthus souzae;EN;Portaria MMA N. 148/2022
Lessingianthus stoechas;VU;Portaria MMA N. 148/2022
Lessingianthus subcarduoides;EN;Portaria MMA N. 148/2022
Lessingianthus venosissimus;EN;Portaria MMA N. 148/2022
Lessingianthus westermanii;EN;Portaria MMA N. 148/2022
Lessingianthus zuccarinianus;VU;Portaria MMA N. 148/2022
Lomatozona artemisiifolia;EN;Portaria MMA N. 148/2022
Lulia nervosa;EN;Portaria MMA N. 148/2022
Lychnocephalus humillimus;CR;Portaria MMA N. 148/2022
Lychnocephalus mellobarretoi;EN;Portaria MMA N. 148/2022
Lychnocephalus sellovii;EN;Portaria MMA N. 148/2022
Lychnocephalus tomentosus;VU;Portaria MMA N. 148/2022
Lychnophora albertinioides;CR;Portaria MMA N. 148/2022
Lychnophora brunioides;CR;Portaria MMA N. 148/2022
Lychnophora candelabrum;VU;Portaria MMA N. 148/2022
Lychnophora crispa;EN;Portaria MMA N. 148/2022
Lychnophora damazioi;EN;Portaria MMA N. 148/2022
Lychnophora diamantinana;EN;Portaria MMA N. 148/2022
Lychnophora gardneri;VU;Portaria MMA N. 148/2022
Lychnophora hatschbachii;EN;Portaria MMA N. 148/2022
Lychnophora martiana;EN;Portaria MMA N. 148/2022
Lychnophora pohlii;VU;Portaria MMA N. 148/2022
Lychnophora ramosissima;VU;Portaria MMA N. 148/2022
Lychnophora rosmarinifolia;VU;Portaria MMA N. 148/2022
Lychnophora rupestris;EN;Portaria MMA N. 148/2022
Lychnophora souzae;CR;Portaria MMA N. 148/2022
Lychnophora staavioides;EN;Portaria MMA N. 148/2022
Lychnophora villosissima;VU;Portaria MMA N. 148/2022
Lychnophorella leucodendron;EN;Portaria MMA N. 148/2022
Lychnophorella regis;EN;Portaria MMA N. 148/2022
Lychnophorella santosii;EN;Portaria MMA N. 148/2022
Lychnophorella sericea;CR;Portaria MMA N. 148/2022
Macropodina bradei;EN;Portaria MMA N. 148/2022
Maschalostachys markgrafii;EN;Portaria MMA N. 148/2022
Maschalostachys mellosilvae;EN;Portaria MMA N. 148/2022
Mikania additicia;EN;Portaria MMA N. 148/2022
Mikania alvimii;EN;Portaria MMA N. 148/2022
Mikania anethifolia;EN;Portaria MMA N. 148/2022
Mikania argyreiae;VU;Portaria MMA N. 148/2022
Mikania cabrerae;EN;Portaria MMA N. 148/2022
Mikania campos-portoana;EN;Portaria MMA N. 148/2022
Mikania cipoensis;EN;Portaria MMA N. 148/2022
